Activity,Health Goal,Duration (minutes),Calories Burned,Satisfaction Score,Frequency Per Week,Equipment Required,Intensity Level,Age Group,Cost (USD),Benefits,User Feedback,Workout Type
Swimming,Overall Fitness,87,537,1,2,Bicycle,Low,Teens,14,Improves cardiovascular health,I did not enjoy Swimming.,Strength
Cycling,Flexibility,46,161,1,4,Boxing Gloves,High,Teens,27,Enhances muscle strength,I did not enjoy Cycling.,Balance
Dance,Flexibility,101,282,2,4,None,High,Adults,7,Improves mood,I did not enjoy Dance.,Mixed
Rock Climbing,Flexibility,67,510,5,1,None,High,Teens,31,Improves mood,I did not enjoy Rock Climbing.,Mixed
Meditation,Mental Clarity,34,538,10,6,None,High,Teens,47,Increases balance,Meditation was very satisfying!,Balance
Kickboxing,Muscle Gain,69,528,1,7,Swimming Costume,Medium,Adults,50,Improves mood,I did not enjoy Kickboxing.,Strength
Zumba,Flexibility,43,469,3,1,Boxing Gloves,Medium,Teens,7,Enhances endurance,I did not enjoy Zumba.,Balance
Rock Climbing,Weight Loss,77,269,3,4,Weights,High,Seniors,16,Improves mood,I did not enjoy Rock Climbing.,Mixed
Walking,Muscle Gain,87,194,5,3,None,Low,Adults,36,Increases balance,I did not enjoy Walking.,Balance
Running,Overall Fitness,55,574,4,4,Climbing Gear,High,Teens,37,Enhances endurance,I did not enjoy Running.,Flexibility
Dance,Muscle Gain,33,362,5,4,None,High,Adults,20,Increases balance,I did not enjoy Dance.,Balance
Walking,Muscle Gain,60,399,1,3,None,Low,Adults,45,Improves cardiovascular health,I did not enjoy Walking.,Aerobic
Zumba,Cardiovascular Fitness,105,346,5,1,"Mat, Reformer",Medium,Adults,24,Promotes mental clarity,I did not enjoy Zumba.,Flexibility
Running,Flexibility,93,383,5,4,Weights,High,Adults,2,Enhances endurance,I did not enjoy Running.,Mixed
Yoga,Weight Loss,115,336,6,5,Swimming Costume,Low,Teens,1,Enhances muscle strength,Yoga was very satisfying!,Flexibility
Weight Lifting,Cardiovascular Fitness,97,214,7,4,Swimming Costume,Medium,Seniors,23,Promotes mental clarity,Weight Lifting was very satisfying!,Flexibility
Yoga,Cardiovascular Fitness,101,508,7,4,Boxing Gloves,Low,Teens,39,Increases balance,Yoga was very satisfying!,Flexibility
Zumba,Overall Fitness,73,412,4,7,Swimming Costume,High,Adults,49,Improves mood,I did not enjoy Zumba.,Balance
Yoga,Cardiovascular Fitness,119,374,1,6,None,High,Seniors,45,Improves mood,I did not enjoy Yoga.,Strength
Kickboxing,Mental Clarity,104,425,4,5,Yoga Mat,Low,Adults,29,Promotes mental clarity,I did not enjoy Kickboxing.,Flexibility
Swimming,Cardiovascular Fitness,84,352,7,2,Bicycle,High,Teens,35,Enhances endurance,Swimming was very satisfying!,Balance
Pilates,Muscle Gain,50,581,2,6,None,Medium,Adults,40,Aids in weight loss,I did not enjoy Pilates.,Aerobic
Kickboxing,Mental Clarity,27,457,9,2,Yoga Mat,Medium,Seniors,30,Improves mood,Kickboxing was very satisfying!,Flexibility
Running,Flexibility,46,314,3,4,Weights,Medium,Seniors,47,Promotes mental clarity,I did not enjoy Running.,Balance
Swimming,Overall Fitness,54,394,10,6,Yoga Mat,Medium,Seniors,12,Promotes mental clarity,Swimming was very satisfying!,Strength
Swimming,Flexibility,83,312,3,1,Weights,High,Adults,11,Aids in weight loss,I did not enjoy Swimming.,Strength
Swimming,Cardiovascular Fitness,53,494,10,3,Boxing Gloves,Medium,Adults,48,Increases balance,Swimming was very satisfying!,Mixed
Zumba,Overall Fitness,95,600,8,2,Boxing Gloves,Medium,Seniors,40,Increases balance,Zumba was very satisfying!,Aerobic
Rock Climbing,Muscle Gain,63,310,3,5,Boxing Gloves,High,Teens,15,Increases balance,I did not enjoy Rock Climbing.,Strength
Weight Lifting,Weight Loss,55,381,8,2,Swimming Costume,High,Teens,31,Enhances muscle strength,Weight Lifting was very satisfying!,Flexibility
HIIT,Cardiovascular Fitness,71,599,8,2,Boxing Gloves,High,Teens,24,Improves cardiovascular health,HIIT was very satisfying!,Flexibility
Yoga,Muscle Gain,65,204,3,2,Weights,High,Seniors,14,Enhances endurance,I did not enjoy Yoga.,Balance
Cycling,Weight Loss,90,327,2,7,Bicycle,Low,Adults,3,Promotes mental clarity,I did not enjoy Cycling.,Flexibility
HIIT,Overall Fitness,49,170,6,4,Swimming Costume,Low,Teens,42,Increases balance,HIIT was very satisfying!,Strength
Zumba,Overall Fitness,114,253,1,5,Climbing Gear,High,Teens,30,Improves mood,I did not enjoy Zumba.,Mixed
Pilates,Mental Clarity,113,186,6,7,Climbing Gear,High,Adults,36,Enhances muscle strength,Pilates was very satisfying!,Balance
Pilates,Overall Fitness,69,307,7,2,"Mat, Reformer",High,Adults,31,Enhances endurance,Pilates was very satisfying!,Aerobic
HIIT,Weight Loss,119,303,9,4,Swimming Costume,Low,Seniors,42,Improves cardiovascular health,HIIT was very satisfying!,Strength
Walking,Overall Fitness,77,549,8,7,None,Medium,Teens,27,Increases balance,Walking was very satisfying!,Mixed
Swimming,Cardiovascular Fitness,36,389,6,3,Weights,High,Adults,3,Improves mood,Swimming was very satisfying!,Flexibility
